EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,NumCompaniesWorked,OverTime,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
RM172,19,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,20989,MoreThan 15000,0,No,4,1,1,5,4,0,0
RM178,19,18-25,Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,9241,Upto 10000,1,No,4,3,1,3,2,1,0
RM423,19,18-25,Yes,Travel_Rarely,Human Resources,2,Technical Degree,1,Male,2,1,Human Resources,4,Single,18437,MoreThan 15000,1,No,3,3,1,3,4,1,0
RM689,19,18-25,Yes,Travel_Rarely,Sales,21,Other,4,Male,2,1,Sales Representative,2,Single,9947,Upto 10000,1,Yes,3,2,1,3,4,1,0
RM854,19,18-25,No,Travel_Rarely,Research & Development,9,Life Sciences,3,Male,3,1,Research Scientist,1,Single,7172,Upto 10000,1,No,4,3,1,4,3,1,1
RM893,19,18-25,Yes,Non-Travel,Research & Development,10,Medical,1,Female,2,1,Research Scientist,2,Single,6148,Upto 10000,1,Yes,4,2,1,2,4,1,1
RM910,19,18-25,No,Travel_Rarely,Research & Development,25,Life Sciences,2,Female,4,1,Research Scientist,4,Single,21221,MoreThan 15000,1,Yes,3,4,1,2,3,1,0
RM103,20,18-25,Yes,Travel_Frequently,Research & Development,6,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,19783,MoreThan 15000,1,Yes,3,2,1,5,3,1,0
RM488,20,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Female,2,1,Research Scientist,2,Single,11757,Upto 15000,1,No,3,4,1,0,4,1,0
RM514,20,18-25,Yes,Travel_Rarely,Research & Development,10,Medical,4,Male,3,1,Research Scientist,3,Single,26999,MoreThan 15000,1,Yes,3,4,1,5,3,1,0
RM663,20,18-25,Yes,Travel_Rarely,Sales,2,Medical,3,Female,2,1,Sales Representative,3,Single,22052,MoreThan 15000,1,No,3,4,2,3,2,2,2
RM690,20,18-25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,1,Male,3,1,Laboratory Technician,1,Single,13008,Upto 15000,1,No,3,2,1,2,3,1,0
RM732,20,18-25,Yes,Travel_Rarely,Research & Development,11,Medical,4,Female,2,1,Research Scientist,1,Single,18275,MoreThan 15000,1,Yes,3,1,1,2,3,1,0
RM777,20,18-25,Yes,Travel_Frequently,Sales,9,Marketing,4,Female,3,1,Sales Representative,4,Single,17205,MoreThan 15000,1,Yes,3,2,2,3,3,2,2
RM857,20,18-25,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,2,1,Laboratory Technician,3,Single,12828,Upto 15000,1,No,3,1,2,2,2,2,2
RM877,20,18-25,No,Travel_Rarely,Sales,21,Marketing,3,Male,4,1,Sales Representative,4,Single,5050,Upto 10000,1,No,3,4,2,2,3,2,1
RM1179,20,18-25,No,Travel_Rarely,Sales,2,Medical,3,Female,3,1,Sales Representative,3,Single,13251,Upto 15000,1,No,3,1,2,3,3,2,2
RM1198,20,18-25,No,Travel_Rarely,Sales,9,Life Sciences,4,Male,3,1,Sales Representative,1,Single,21082,MoreThan 15000,1,No,3,1,2,3,3,2,2
RM024,21,18-25,No,Travel_Rarely,Research & Development,15,Life Sciences,3,Male,3,1,Research Scientist,4,Single,19281,MoreThan 15000,1,No,3,4,0,6,3,0,0
RM275,21,18-25,No,Travel_Rarely,Research & Development,3,Medical,4,Male,2,1,Research Scientist,3,Single,10531,Upto 15000,1,No,3,1,3,4,4,3,2
RM358,21,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,1,Female,2,1,Sales Representative,2,Single,9150,Upto 10000,1,Yes,3,3,3,3,3,3,2
RM363,21,18-25,No,Non-Travel,Sales,9,Medical,1,Male,3,1,Sales Representative,4,Single,2851,Upto 5000,1,No,4,3,3,3,2,3,2
RM371,21,18-25,Yes,Travel_Rarely,Sales,12,Life Sciences,3,Female,4,1,Sales Representative,2,Single,25422,MoreThan 15000,1,No,3,4,1,0,3,1,0
RM497,21,18-25,No,Travel_Rarely,Sales,22,Technical Degree,3,Male,3,1,Sales Representative,3,Single,24444,MoreThan 15000,1,No,3,3,3,2,3,3,2
RM664,21,18-25,Yes,Travel_Rarely,Research & Development,18,Other,4,Female,3,1,Research Scientist,4,Single,8870,Upto 10000,1,No,3,1,1,3,2,1,0
RM778,21,18-25,Yes,Travel_Rarely,Research & Development,10,Life Sciences,3,Female,2,1,Laboratory Technician,1,Single,17258,MoreThan 15000,1,No,3,1,1,6,2,1,0
RM816,21,18-25,No,Travel_Rarely,Research & Development,1,Technical Degree,4,Female,2,1,Research Scientist,2,Single,25326,MoreThan 15000,1,Yes,3,3,2,6,4,2,2
RM916,21,18-25,Yes,Travel_Frequently,Research & Development,10,Life Sciences,1,Female,2,1,Laboratory Technician,3,Single,25308,MoreThan 15000,1,No,4,3,2,2,1,2,2
RM1153,21,18-25,No,Travel_Rarely,Research & Development,5,Medical,3,Male,3,1,Research Scientist,4,Single,26009,MoreThan 15000,1,No,3,3,3,2,3,2,2
RM1272,21,18-25,Yes,Travel_Rarely,Sales,7,Marketing,2,Male,3,1,Sales Representative,2,Single,4567,Upto 5000,1,No,3,2,1,3,3,1,0
RM1437,21,18-25,No,Travel_Rarely,Sales,5,Medical,3,Male,3,1,Sales Representative,1,Single,25479,MoreThan 15000,1,Yes,3,4,2,6,3,2,2
RM018,22,18-25,No,Non-Travel,Research & Development,16,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,7324,Upto 10000,1,Yes,3,2,1,2,2,1,0
RM110,22,18-25,No,Travel_Rarely,Research & Development,15,Medical,2,Female,3,1,Laboratory Technician,4,Single,23785,MoreThan 15000,1,No,3,3,1,5,3,0,0
RM129,22,18-25,No,Travel_Rarely,Research & Development,2,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,19299,MoreThan 15000,0,No,3,3,3,2,3,2,1
RM161,22,18-25,No,Travel_Rarely,Research & Development,19,Medical,3,Male,3,1,Research Scientist,4,Married,11992,Upto 15000,1,No,4,1,2,6,3,2,2
RM207,22,18-25,No,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,4,1,Research Scientist,2,Divorced,12392,Upto 15000,1,Yes,3,1,4,2,2,4,2
RM384,22,18-25,No,Travel_Rarely,Research & Development,11,Medical,1,Female,3,1,Research Scientist,2,Married,24440,MoreThan 15000,1,No,3,4,2,1,3,2,1
RM444,22,18-25,Yes,Travel_Frequently,Research & Development,4,Technical Degree,3,Male,2,1,Laboratory Technician,3,Single,9129,Upto 10000,5,No,3,3,4,3,3,2,2
RM499,22,18-25,No,Travel_Rarely,Research & Development,6,Medical,1,Male,3,1,Research Scientist,3,Married,12145,Upto 15000,0,No,4,4,3,3,3,2,2
RM631,22,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,2,2,Manufacturing Director,4,Married,19146,MoreThan 15000,6,No,4,1,4,2,1,2,2
RM667,22,18-25,Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,Female,3,2,Manufacturing Director,3,Married,10022,Upto 15000,0,Yes,3,1,4,3,4,3,2
RM735,22,18-25,No,Travel_Rarely,Research & Development,8,Life Sciences,2,Male,1,1,Laboratory Technician,1,Married,6881,Upto 10000,1,No,3,1,4,3,2,4,3
RM861,22,18-25,Yes,Travel_Frequently,Research & Development,3,Life Sciences,3,Male,2,1,Research Scientist,4,Married,4223,Upto 5000,0,Yes,3,2,1,5,3,0,0
RM1138,22,18-25,No,Non-Travel,Research & Development,26,Other,2,Female,2,1,Research Scientist,3,Married,10293,Upto 15000,1,Yes,3,2,4,2,2,4,2
RM1274,22,18-25,Yes,Travel_Rarely,Research & Development,8,Medical,3,Female,3,1,Laboratory Technician,1,Married,15999,MoreThan 15000,1,Yes,3,3,1,6,3,1,0
RM1340,22,18-25,Yes,Travel_Rarely,Research & Development,7,Life Sciences,4,Male,3,1,Research Scientist,2,Single,26092,MoreThan 15000,1,Yes,4,1,1,2,3,1,0
RM1424,22,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,3,Single,17624,MoreThan 15000,0,No,3,4,4,2,4,3,2
RM087,23,18-25,No,Travel_Rarely,Sales,2,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,9518,Upto 10000,3,No,3,3,3,3,3,0,0
RM346,23,18-25,No,Travel_Rarely,Research & Development,26,Life Sciences,3,Male,3,1,Research Scientist,4,Divorced,16092,MoreThan 15000,1,No,3,3,4,2,2,4,2
RM517,23,18-25,No,Travel_Rarely,Research & Development,4,Medical,1,Male,4,1,Research Scientist,1,Married,8544,Upto 10000,2,No,3,1,5,3,4,3,2
RM551,23,18-25,No,Travel_Rarely,Research & Development,9,Medical,2,Male,3,1,Laboratory Technician,1,Married,4344,Upto 5000,1,No,3,4,5,2,4,4,3
RM566,23,18-25,No,Travel_Rarely,Research & Development,10,Medical,1,Male,4,1,Research Scientist,3,Single,19630,MoreThan 15000,1,No,3,4,2,3,3,2,2
RM586,23,18-25,Yes,Travel_Rarely,Research & Development,6,Life Sciences,3,Male,4,1,Laboratory Technician,1,Married,3445,Upto 5000,1,Yes,4,3,1,2,3,0,0
RM911,23,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,3,Married,16901,MoreThan 15000,1,No,4,4,1,2,3,1,0
RM1083,23,18-25,No,Travel_Rarely,Research & Development,20,Life Sciences,1,Male,3,2,Laboratory Technician,3,Single,24812,MoreThan 15000,0,No,3,2,5,2,3,4,3
RM1128,23,18-25,No,Travel_Rarely,Research & Development,10,Technical Degree,4,Male,4,1,Research Scientist,3,Married,12826,Upto 15000,2,No,3,4,4,2,3,2,2
RM1202,23,18-25,Yes,Travel_Rarely,Research & Development,8,Medical,4,Male,2,1,Laboratory Technician,3,Single,20586,MoreThan 15000,1,Yes,3,1,5,2,3,5,4
RM1214,23,18-25,Yes,Travel_Rarely,Sales,7,Life Sciences,3,Male,3,1,Sales Representative,4,Divorced,25103,MoreThan 15000,1,Yes,4,2,3,2,3,3,2
RM1239,23,18-25,No,Travel_Rarely,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,2,Single,12862,Upto 15000,1,No,3,3,3,3,1,3,2
RM1409,23,18-25,No,Travel_Rarely,Research & Development,12,Other,4,Male,3,1,Laboratory Technician,4,Single,13672,Upto 15000,1,No,3,3,5,6,4,5,2
RM1439,23,18-25,Yes,Travel_Frequently,Sales,9,Marketing,4,Male,3,1,Sales Representative,1,Married,26956,MoreThan 15000,1,No,3,1,1,3,2,1,0
RM021,24,18-25,No,Non-Travel,Research & Development,11,Other,1,Female,4,2,Manufacturing Director,3,Divorced,8232,Upto 10000,0,No,3,4,5,5,2,4,2
RM035,24,18-25,Yes,Travel_Rarely,Research & Development,1,Medical,2,Male,3,1,Research Scientist,4,Married,3020,Upto 5000,2,Yes,3,1,6,2,2,2,0
RM097,24,18-25,No,Travel_Rarely,Sales,3,Other,1,Female,3,2,Sales Executive,3,Married,17519,MoreThan 15000,0,No,4,1,4,2,2,3,2
RM114,24,18-25,No,Travel_Rarely,Research & Development,18,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,13257,Upto 15000,0,No,3,3,6,2,3,5,3
RM381,24,18-25,No,Travel_Rarely,Sales,10,Marketing,4,Female,3,2,Sales Executive,3,Divorced,5915,Upto 10000,1,Yes,3,4,5,2,4,5,2
RM415,24,18-25,Yes,Travel_Rarely,Sales,1,Technical Degree,1,Female,3,1,Sales Representative,2,Single,21972,MoreThan 15000,1,Yes,3,2,6,4,3,5,3
RM471,24,18-25,No,Travel_Frequently,Sales,24,Medical,4,Male,3,1,Sales Representative,4,Married,5530,Upto 10000,0,No,3,3,3,3,3,2,2
RM475,24,18-25,No,Travel_Rarely,Research & Development,23,Medical,2,Male,4,1,Research Scientist,4,Married,21630,MoreThan 15000,1,Yes,3,2,6,3,3,6,5
RM477,24,18-25,No,Travel_Rarely,Research & Development,17,Other,4,Male,2,1,Laboratory Technician,2,Married,9100,Upto 10000,1,No,4,4,1,2,3,1,0
RM480,24,18-25,Yes,Travel_Frequently,Research & Development,7,Life Sciences,1,Female,3,1,Laboratory Technician,3,Married,14168,Upto 15000,1,Yes,3,4,6,4,3,6,3
RM526,24,18-25,Yes,Travel_Rarely,Sales,3,Life Sciences,1,Female,3,2,Sales Executive,3,Single,24785,MoreThan 15000,9,No,3,1,4,3,3,2,2
RM587,24,18-25,No,Non-Travel,Research & Development,9,Life Sciences,3,Male,2,1,Laboratory Technician,2,Divorced,26551,MoreThan 15000,1,No,3,3,1,4,3,1,0
RM641,24,18-25,No,Non-Travel,Research & Development,4,Life Sciences,1,Male,2,1,Laboratory Technician,4,Married,10778,Upto 15000,0,No,3,4,6,2,2,5,2
RM725,24,18-25,No,Travel_Rarely,Research & Development,17,Medical,4,Female,2,2,Manufacturing Director,3,Divorced,24117,MoreThan 15000,1,No,3,2,5,6,3,4,2
RM842,24,18-25,No,Travel_Rarely,Research & Development,24,Medical,4,Male,3,1,Laboratory Technician,2,Single,6409,Upto 10000,8,No,4,4,6,2,3,4,3
RM872,24,18-25,Yes,Travel_Rarely,Research & Development,17,Life Sciences,4,Female,3,1,Laboratory Technician,2,Married,3372,Upto 5000,1,No,3,1,1,3,1,1,0
RM1026,24,18-25,No,Travel_Rarely,Sales,4,Medical,4,Female,3,2,Sales Executive,3,Married,15211,MoreThan 15000,1,Yes,3,3,5,3,3,5,4
RM1061,24,18-25,Yes,Travel_Frequently,Research & Development,9,Medical,2,Male,3,1,Laboratory Technician,1,Single,16998,MoreThan 15000,2,Yes,3,3,4,2,2,0,0
RM1062,24,18-25,No,Non-Travel,Sales,13,Life Sciences,4,Female,3,1,Sales Representative,2,Married,7103,Upto 10000,1,No,3,3,1,2,3,1,0
RM1098,24,18-25,No,Travel_Rarely,Research & Development,21,Technical Degree,3,Male,2,1,Laboratory Technician,1,Divorced,10036,Upto 15000,0,No,3,2,2,3,3,1,1
RM1169,24,18-25,No,Travel_Frequently,Research & Development,2,Technical Degree,1,Female,3,1,Research Scientist,4,Single,17218,MoreThan 15000,1,Yes,3,3,6,2,3,6,3
RM1218,24,18-25,No,Travel_Rarely,Research & Development,9,Medical,3,Male,4,1,Research Scientist,3,Married,17616,MoreThan 15000,1,No,3,4,5,1,3,5,3
RM1223,24,18-25,Yes,Travel_Rarely,Human Resources,22,Human Resources,4,Male,1,1,Human Resources,3,Married,11585,Upto 15000,1,No,3,3,1,2,3,1,0
RM1231,24,18-25,No,Travel_Rarely,Research & Development,29,Medical,2,Male,3,1,Laboratory Technician,1,Divorced,3622,Upto 5000,1,No,3,2,6,2,4,6,2
RM1246,24,18-25,No,Travel_Frequently,Human Resources,10,Medical,1,Male,3,1,Human Resources,4,Married,2097,Upto 5000,0,No,3,4,3,2,3,2,2
RM1408,24,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,2,2,Healthcare Representative,3,Single,14120,Upto 15000,1,No,3,2,4,2,2,4,3
RM108,25,18-25,Yes,Travel_Rarely,Sales,5,Marketing,3,Male,2,2,Sales Executive,3,Single,26959,MoreThan 15000,1,Yes,3,4,6,1,3,6,4
RM109,25,18-25,No,Travel_Rarely,Research & Development,7,Medical,4,Male,2,1,Research Scientist,4,Married,26897,MoreThan 15000,1,No,3,3,2,2,3,2,2
RM139,25,18-25,No,Travel_Rarely,Sales,28,Life Sciences,1,Male,2,2,Sales Executive,3,Married,24835,MoreThan 15000,2,No,3,4,6,3,3,2,2
RM256,25,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,1,Female,3,2,Manufacturing Director,3,Married,7505,Upto 10000,0,No,3,4,5,3,3,4,2
RM268,25,18-25,No,Non-Travel,Research & Development,5,Life Sciences,2,Male,4,2,Healthcare Representative,1,Divorced,18384,MoreThan 15000,1,No,3,4,6,2,3,6,3
RM398,25,18-25,No,Travel_Rarely,Sales,4,Life Sciences,2,Female,2,2,Sales Executive,4,Single,12090,Upto 15000,1,Yes,3,2,5,3,3,5,4
RM406,25,18-25,Yes,Travel_Rarely,Research & Development,3,Medical,1,Male,3,1,Laboratory Technician,1,Married,9396,Upto 10000,5,No,3,3,6,5,3,2,2
RM479,25,18-25,No,Travel_Rarely,Sales,13,Medical,2,Male,3,1,Sales Representative,3,Married,26376,MoreThan 15000,1,No,3,3,7,1,3,7,4
RM518,25,18-25,No,Travel_Rarely,Sales,8,Life Sciences,4,Male,4,2,Sales Executive,2,Married,15678,MoreThan 15000,0,No,4,3,4,4,3,3,2
RM564,25,18-25,No,Travel_Rarely,Sales,26,Medical,3,Female,3,2,Sales Executive,4,Single,22807,MoreThan 15000,1,No,4,2,6,5,2,6,5
RM619,25,18-25,No,Travel_Rarely,Research & Development,2,Medical,1,Male,4,1,Research Scientist,1,Single,21632,MoreThan 15000,7,No,3,3,6,3,2,4,3
RM635,25,18-25,No,Travel_Rarely,Sales,3,Other,3,Male,3,2,Sales Executive,1,Married,14363,Upto 15000,1,Yes,3,4,5,3,3,5,3
RM639,25,18-25,No,Travel_Rarely,Sales,4,Marketing,3,Male,2,2,Sales Executive,1,Married,18154,MoreThan 15000,1,No,3,1,5,1,4,5,2
RM684,25,18-25,Yes,Travel_Rarely,Sales,19,Marketing,3,Male,2,1,Sales Representative,2,Married,18798,MoreThan 15000,1,Yes,3,3,1,2,3,1,0
RM797,25,18-25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,4,Male,3,1,Laboratory Technician,4,Married,4605,Upto 5000,1,Yes,3,2,7,3,4,7,7
RM886,25,18-25,No,Travel_Rarely,Sales,10,Life Sciences,3,Male,3,2,Sales Executive,4,Single,20623,MoreThan 15000,0,No,3,2,5,4,3,4,3
RM912,25,18-25,Yes,Travel_Frequently,Sales,24,Life Sciences,3,Male,1,1,Sales Representative,4,Single,8040,Upto 10000,1,Yes,3,4,1,4,3,1,0
RM935,25,18-25,No,Travel_Rarely,Research & Development,1,Medical,4,Female,3,1,Research Scientist,2,Single,18830,MoreThan 15000,1,No,3,4,2,3,2,2,2
RM966,25,18-25,No,Travel_Rarely,Research & Development,19,Medical,4,Male,3,1,Laboratory Technician,4,Married,9075,Upto 10000,3,No,3,3,7,6,2,3,2
RM994,25,18-25,No,Travel_Rarely,Sales,18,Life Sciences,1,Male,4,2,Sales Executive,3,Married,12477,Upto 15000,2,No,3,2,6,3,2,3,2
RM1004,25,18-25,No,Travel_Rarely,Research & Development,1,Technical Degree,1,Male,3,1,Laboratory Technician,4,Married,4910,Upto 5000,4,No,3,2,7,2,2,3,2
RM1022,25,18-25,Yes,Travel_Rarely,Sales,9,Life Sciences,1,Male,2,1,Sales Representative,1,Married,15182,MoreThan 15000,3,No,3,1,6,2,3,3,2
RM1175,25,18-25,No,Travel_Frequently,Research & Development,2,Life Sciences,4,Male,4,2,Manufacturing Director,3,Divorced,4973,Upto 5000,1,No,3,3,7,6,3,7,7
RM1412,25,18-25,No,Travel_Rarely,Human Resources,2,Human Resources,3,Female,3,1,Human Resources,2,Married,19655,MoreThan 15000,4,No,3,3,6,3,3,2,0
RM1414,25,18-25,No,Travel_Rarely,Research & Development,2,Other,4,Male,3,1,Laboratory Technician,3,Divorced,7298,Upto 10000,6,Yes,3,3,7,2,2,2,2
RM1434,25,18-25,No,Travel_Rarely,Sales,8,Other,1,Female,3,2,Sales Executive,3,Divorced,13684,Upto 15000,0,Yes,4,2,6,3,2,5,3
RM043,26,26-35,Yes,Travel_Rarely,Research & Development,25,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,10558,Upto 15000,1,No,3,3,1,2,2,1,0
RM055,26,26-35,No,Travel_Rarely,Sales,23,Marketing,3,Female,2,2,Sales Executive,4,Married,21436,MoreThan 15000,7,Yes,3,3,5,2,2,2,2
RM126,26,26-35,No,Travel_Rarely,Research & Development,6,Other,3,Female,2,1,Research Scientist,2,Married,23300,MoreThan 15000,1,No,3,3,5,3,2,5,4
RM135,26,26-35,No,Travel_Rarely,Human Resources,25,Life Sciences,3,Female,3,1,Human Resources,3,Married,8916,Upto 10000,1,No,4,4,8,3,3,8,7
RM279,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,3,Female,3,2,Manufacturing Director,2,Divorced,26767,MoreThan 15000,1,No,4,1,6,6,1,6,5
RM285,26,26-35,No,Travel_Frequently,Research & Development,11,Medical,1,Male,3,2,Healthcare Representative,1,Married,22722,MoreThan 15000,1,Yes,3,3,5,3,3,5,3
RM289,26,26-35,Yes,Travel_Rarely,Research & Development,16,Medical,1,Male,3,1,Laboratory Technician,2,Divorced,14180,Upto 15000,2,Yes,3,4,5,2,3,3,2
RM294,26,26-35,Yes,Travel_Rarely,Sales,4,Marketing,4,Male,2,2,Sales Executive,4,Single,8450,Upto 10000,1,Yes,3,2,8,0,3,8,7
RM356,26,26-35,No,Travel_Rarely,Sales,1,Life Sciences,3,Male,3,2,Sales Executive,3,Married,20156,MoreThan 15000,1,No,3,2,8,3,3,8,7
RM383,26,26-35,Yes,Travel_Frequently,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,1,Single,6582,Upto 10000,0,No,4,3,7,2,3,6,4
RM419,26,26-35,No,Travel_Rarely,Research & Development,23,Life Sciences,1,Female,3,1,Research Scientist,4,Divorced,3032,Upto 5000,1,No,4,2,3,3,1,3,2
RM454,26,26-35,Yes,Travel_Frequently,Human Resources,17,Life Sciences,2,Female,3,1,Human Resources,3,Divorced,22808,MoreThan 15000,0,Yes,3,2,8,2,2,7,7
RM461,26,26-35,No,Travel_Rarely,Sales,29,Medical,1,Male,3,2,Sales Executive,3,Divorced,4267,Upto 5000,5,No,3,1,8,5,3,0,0
RM464,26,26-35,Yes,Travel_Rarely,Research & Development,24,Technical Degree,3,Male,1,1,Laboratory Technician,4,Single,23213,MoreThan 15000,1,Yes,3,2,1,3,1,1,0
RM476,26,26-35,No,Travel_Rarely,Sales,28,Marketing,1,Male,3,2,Sales Executive,2,Married,7428,Upto 10000,1,No,4,4,6,5,4,5,3
RM506,26,26-35,No,Travel_Rarely,Research & Development,6,Life Sciences,3,Female,3,1,Laboratory Technician,4,Married,17759,MoreThan 15000,1,Yes,3,3,3,2,3,3,2
RM572,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,1,Female,1,1,Laboratory Technician,4,Divorced,5288,Upto 10000,3,No,3,1,5,2,3,2,2
RM574,26,26-35,Yes,Travel_Rarely,Sales,8,Technical Degree,4,Male,2,2,Sales Executive,1,Single,3064,Upto 5000,6,No,3,3,6,2,2,4,3
RM615,26,26-35,Yes,Travel_Frequently,Research & Development,5,Medical,3,Female,2,1,Research Scientist,3,Married,20898,MoreThan 15000,1,Yes,3,1,8,2,3,8,7
RM686,26,26-35,No,Travel_Frequently,Sales,1,Medical,3,Male,2,2,Sales Executive,1,Single,11148,Upto 15000,1,No,3,2,7,2,3,7,7
RM734,26,26-35,No,Travel_Rarely,Research & Development,2,Medical,4,Male,4,2,Manufacturing Director,4,Married,3334,Upto 5000,1,No,3,2,8,2,3,8,7
RM749,26,26-35,Yes,Non-Travel,Sales,29,Medical,2,Male,1,2,Sales Executive,1,Single,21813,MoreThan 15000,8,No,3,4,7,6,3,2,2
RM763,26,26-35,Yes,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,3,1,Research Scientist,1,Married,15346,MoreThan 15000,6,Yes,3,2,6,2,3,3,2
RM770,26,26-35,No,Travel_Frequently,Research & Development,1,Medical,1,Female,2,1,Research Scientist,3,Divorced,25265,MoreThan 15000,1,No,3,3,5,5,3,5,3
RM782,26,26-35,No,Travel_Rarely,Research & Development,1,Medical,1,Male,2,1,Laboratory Technician,1,Married,11141,Upto 15000,1,No,3,1,6,2,3,5,3
RM798,26,26-35,Yes,Travel_Rarely,Research & Development,21,Medical,1,Male,3,1,Laboratory Technician,3,Divorced,19373,MoreThan 15000,1,No,4,3,1,0,2,1,1
RM844,26,26-35,No,Travel_Rarely,Research & Development,3,Medical,1,Male,4,1,Laboratory Technician,4,Married,13421,Upto 15000,1,No,4,2,8,2,3,8,7
RM913,26,26-35,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,1,Research Scientist,4,Single,9973,Upto 10000,1,Yes,4,2,8,2,2,8,5
RM999,26,26-35,No,Travel_Rarely,Research & Development,2,Medical,1,Male,2,1,Research Scientist,4,Single,4050,Upto 5000,0,No,3,4,5,2,3,4,3
RM1005,26,26-35,No,Travel_Rarely,Research & Development,7,Other,3,Male,4,1,Laboratory Technician,1,Single,23577,MoreThan 15000,0,No,3,4,8,2,3,7,7
RM1119,26,26-35,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,3,1,Research Scientist,4,Married,11133,Upto 15000,1,No,4,1,1,5,3,1,0
RM1207,26,26-35,No,Non-Travel,Research & Development,7,Medical,4,Male,3,1,Laboratory Technician,4,Single,11925,Upto 15000,1,No,4,3,7,5,3,7,7
RM1225,26,26-35,No,Travel_Rarely,Research & Development,17,Medical,4,Male,1,1,Laboratory Technician,3,Married,6217,Upto 10000,1,No,3,3,3,3,4,3,2
RM1298,26,26-35,Yes,Travel_Rarely,Human Resources,20,Medical,4,Female,3,1,Human Resources,2,Married,6889,Upto 10000,0,Yes,3,3,6,3,3,5,1
